session_id,user_id,movie_id,watch_date,device_type,watch_duration_minutes,progress_percentage,action,quality,location_country,is_download,user_rating,email,first_name,last_name,age,gender,country,state_province,city,subscription_plan,subscription_start_date,is_active,monthly_spend,primary_device,household_size,created_at,title,content_type,genre_primary,genre_secondary,release_year,duration_minutes,rating,language,country_of_origin,imdb_rating,production_budget,box_office_revenue,number_of_seasons,number_of_episodes,is_netflix_original,added_to_platform,content_warning
session_076950,user_06307,movie_0585,2/16/24,Tablet,66.8,3.1,stopped,4K,USA,FALSE,,gnicholson@example.net,Melissa,King,35,,USA,Pennsylvania,Ryanchester,Standard,2023-07-04,TRUE,3.85,Gaming Console,2,2025-07-11 1:02:30,Quest Battle,TV Series,Comedy,,2023,59,G,Spanish,USA,,,,6,101,FALSE,2020-11-25,FALSE
session_030413,user_06210,movie_0802,7/31/24,Laptop,,15.7,completed,4K,USA,FALSE,,sarah47@example.com,Tiffany,Ortiz,19,Male,USA,Florida,New Trevorfort,Premium+,2024-06-23,TRUE,13.04,Gaming Console,3,2023-12-20 14:00:45,Day Dragon,TV Series,Adventure,,2006,45,G,French,South Korea,6.2,,,2,174,FALSE,2021-03-13,FALSE
session_054815,user_05751,movie_0327,9/8/24,Mobile,,57.3,started,SD,USA,FALSE,,kaitlyn50@example.com,Elizabeth,Scott,,Male,USA,Georgia,Maryshire,Premium,2024-07-06,TRUE,26.1,Laptop,3,2023-05-17 12:00:08,The Storm,TV Series,History,Drama,2005,48,G,English,USA,7.4,,,2,164,FALSE,2021-10-05,FALSE
session_086606,user_04894,movie_0932,7/3/24,Laptop,18.4,11.2,stopped,HD,USA,FALSE,,cynthia74@example.net,Sandra,Todd,,Male,Canada,Nova Scotia,Jasminetown,Premium,2023-10-13,TRUE,8.18,Smart TV,3,2024-08-09 5:19:43,Hero Empire,Limited Series,Sci-Fi,Adventure,1992,63,NC-17,English,USA,9,,,6,46,FALSE,2021-04-22,FALSE
session_040833,user_04121,movie_0223,6/21/25,Smart TV,39.3,46.6,completed,HD,USA,TRUE,,george41@example.net,Maria,Browning,33,Male,USA,Washington,East Noahside,Premium+,2024-03-29,TRUE,13.72,Gaming Console,,2022-08-29 5:48:04,Story Phoenix,TV Series,History,,2006,50,TV-G,Hindi,USA,6.3,,,,156,FALSE,2020-10-22,FALSE
session_056353,user_08150,movie_0627,7/21/25,Smart TV,90.3,73.1,completed,HD,USA,FALSE,5,jennifer49@example.com,Nicholas,Hess,40,Female,Canada,Nova Scotia,New Jenniferview,Premium,2024-01-24,TRUE,20.35,Laptop,2,2024-01-22 11:18:20,Love Legend,Movie,Western,,2018,121,NC-17,English,Germany,6.5,2533936,45685991,,,FALSE,2024-12-29,FALSE
session_032488,user_01720,movie_0700,7/8/24,Desktop,60.8,6.3,completed,4K,USA,FALSE,,sbanks@example.org,Robert,Ward,38,Male,USA,New Jersey,Ricardomouth,Premium,2024-03-02,FALSE,15.05,Tablet,2,2023-09-23 13:38:51,A Secret,Movie,Biography,,1995,94,G,English,USA,6.3,1080214,26058332,,,TRUE,2024-04-09,FALSE
session_021993,user_09611,movie_0789,2/22/24,Desktop,,26.1,completed,HD,Canada,FALSE,,anthonymay@example.net,Michael,Schneider,28,Female,Canada,Saskatchewan,West Elaineport,Standard,2023-06-25,TRUE,12.97,Desktop,,2024-04-11 8:53:30,Adventure Quest,Movie,Action,Drama,1996,123,PG,Hindi,UK,5.2,1252871,1563002,,,FALSE,2025-02-08,FALSE
session_011798,user_08567,movie_0920,4/29/25,Tablet,41.1,82.5,stopped,4K,Canada,FALSE,,andersonjoshua@example.org,Jennifer,Thompson,43,Male,USA,Michigan,Robertville,Basic,2023-12-12,TRUE,9.42,Desktop,7,2024-07-15 3:32:11,Story Warrior,Movie,Music,,1998,129,R,English,Canada,10,1568923,910439,,,FALSE,2021-07-11,FALSE
session_042995,user_07317,movie_0151,10/20/24,Laptop,17.1,93.9,paused,4K,USA,FALSE,,salinascheryl@example.com,Michael,Kelly,19,,USA,Michigan,North Jacquelinechester,Premium,2024-10-06,TRUE,13.72,Laptop,,2022-09-29 12:48:17,Night Love,Movie,Animation,,2005,98,TV-Y,English,South Korea,6.2,5071451,235899,,,FALSE,2022-12-11,FALSE
session_083883,user_01309,movie_0821,3/14/24,Desktop,67.4,69.3,paused,4K,USA,FALSE,,dylan03@example.org,Rhonda,Cook,,Male,USA,New Jersey,South Jamesport,Basic,2022-09-15,TRUE,15.44,Tablet,4,2024-04-11 12:46:19,Hero King,Movie,Sci-Fi,,2011,109,NC-17,Spanish,USA,4,821340,,,,FALSE,2023-12-20,FALSE
session_011504,user_00310,movie_0298,11/18/25,Tablet,7.5,45.4,completed,HD,USA,FALSE,,hollyortega@example.com,Tony,Alvarez,59,Female,Canada,Prince Edward Island,Murrayburgh,Standard,2024-11-20,TRUE,19.72,Laptop,,2024-02-10 15:23:13,City Dream,Movie,Adventure,,2014,121,PG-13,Korean,USA,6.9,2411775,4770765,,,TRUE,2021-02-08,FALSE
session_028322,user_04407,movie_0930,2/5/25,Mobile,102.1,33.1,completed,HD,Canada,FALSE,,alejandroporter@example.org,Nicholas,Mason,33,Female,USA,Maryland,Port Matthewberg,Premium,2024-11-17,FALSE,2.55,Laptop,2,2024-07-12 1:34:21,Dark Day,Limited Series,Animation,History,1991,18,TV-14,English,Canada,5.8,,,8,99,FALSE,2025-04-30,FALSE
session_088954,user_00886,movie_0382,1/15/25,Mobile,19,47.1,completed,SD,Canada,TRUE,,michelle02@example.com,Jennifer,Morgan,45,Male,Canada,New Brunswick,Jamestown,Premium,2023-12-29,TRUE,17.2,Tablet,3,2023-10-27 14:54:50,Love Empire,Documentary,War,War,2012,66,TV-G,English,Canada,5.5,,,,,FALSE,2021-10-10,TRUE
session_008067,user_08023,movie_0049,1/30/25,Laptop,129.1,26.5,paused,Ultra HD,USA,TRUE,,yduke@example.net,Donald,Parker,25,Female,USA,Virginia,Christopherland,Premium+,2023-06-17,TRUE,20.39,Gaming Console,2,2024-06-08 0:35:10,Kingdom Day,Movie,Thriller,,2023,111,NC-17,English,Germany,4.6,629194,2736647,,,FALSE,2024-03-03,FALSE
session_055159,user_06292,movie_0013,7/17/24,Mobile,6.8,35.6,paused,4K,USA,FALSE,,fsmith@example.com,Cassidy,Anderson,37,Female,USA,Illinois,Stephanieland,Premium,2023-07-16,TRUE,20.06,Mobile,4,2024-12-29 8:01:38,Dream Journey,Movie,Romance,,2013,138,PG,English,Germany,8.6,1758821,3573506,,,FALSE,2021-01-20,TRUE
session_099340,user_08226,movie_0507,3/14/25,Laptop,21.7,96.8,stopped,HD,USA,TRUE,,keithstewart@example.net,Laura,Frederick,21,Female,USA,California,Laurabury,Premium+,2023-10-29,TRUE,4.7,Smart TV,1,2023-01-21 1:35:19,Old Empire,Movie,Thriller,,1991,118,PG-13,Spanish,USA,4.9,5168542,23957389,,,FALSE,2025-06-14,TRUE
session_067345,user_05096,movie_0843,7/2/24,Desktop,79.3,76.7,started,HD,USA,FALSE,,hharvey@example.net,Katie,Nelson,36,Female,USA,Texas,South Jenniferborough,Standard,2024-07-27,TRUE,6.43,Desktop,1,2023-11-18 10:52:14,War Fire,Movie,Comedy,Family,1998,60,PG-13,English,USA,4.8,2630439,,,,FALSE,2024-03-28,FALSE
session_012985,user_07181,movie_0555,6/7/25,Laptop,28.6,10.1,completed,4K,USA,FALSE,,pmoody@example.net,Sheila,Dalton,42,Male,USA,Arizona,South Mary,Premium,2023-05-03,TRUE,,Mobile,3,2024-02-12 23:29:55,Ice Phoenix,TV Series,Comedy,Sci-Fi,2011,22,R,English,Germany,3,,,,141,FALSE,2025-04-06,TRUE
session_091437,user_08476,movie_0568,10/11/25,Laptop,65.3,50.2,completed,HD,USA,FALSE,4,briggssabrina@example.org,John,Lee,41,Male,USA,North Carolina,Audreyland,Basic,2023-09-14,TRUE,10.33,Gaming Console,5,2022-11-06 4:02:27,Dark Legend,Movie,Sci-Fi,,1956,125,TV-Y7,English,Canada,6.2,1464928,7568167,,,FALSE,2025-03-22,FALSE
session_098117,user_00924,movie_0814,4/5/25,Mobile,2.1,20.2,paused,HD,Canada,FALSE,,amyvalenzuela@example.net,Matthew,Green,42,Female,Canada,Quebec,New Kathleen,Premium,2023-02-12,TRUE,20.47,Desktop,4,2023-10-03 9:20:49,Adventure Legend,TV Series,Adventure,,2004,62,TV-Y7,Korean,USA,6.3,,,11,13,FALSE,2022-03-04,FALSE
session_054593,user_05951,movie_0236,4/28/25,Laptop,28.4,83.8,paused,Ultra HD,USA,FALSE,,daniel17@example.com,David,West,,Female,Canada,Prince Edward Island,Sarahfort,Basic,2024-01-31,TRUE,,Gaming Console,3,2024-04-01 6:47:11,Queen Warrior,Stand-up Comedy,Action,Animation,2006,81,TV-14,English,Canada,,,,,,FALSE,2024-08-22,FALSE
session_064781,user_08470,movie_0176,3/2/24,Laptop,48.6,25.3,stopped,Ultra HD,USA,FALSE,,hickmanstephanie@example.org,Miguel,White,37,Male,USA,Georgia,Paigeborough,Premium,2024-03-16,TRUE,4.79,Laptop,2,2023-09-29 4:44:23,Dream City,TV Series,Documentary,,2008,39,TV-Y7,French,USA,4.4,,,10,116,TRUE,2022-09-02,FALSE
session_002542,user_02427,movie_0077,12/5/25,Laptop,38.9,68.6,started,4K,USA,TRUE,,vowen@example.com,Megan,Conner,29,Male,USA,Tennessee,Lindsaymouth,Standard,2023-01-22,TRUE,24.36,Gaming Console,2,2025-05-14 13:00:00,Our Battle,TV Series,War,History,2018,26,TV-14,English,USA,6.4,,,5,95,TRUE,2024-12-03,FALSE
session_074901,user_04713,movie_0662,5/18/24,Mobile,62,17.2,paused,4K,Canada,TRUE,,gomezdiana@example.org,Julie,Scott,,Male,USA,New York,New Miguel,Premium,2023-03-30,TRUE,21.21,Laptop,,2023-11-07 1:27:14,Bright Family,Movie,Documentary,,1997,65,TV-MA,English,USA,7.9,10706001,1631334,,,FALSE,2020-09-13,FALSE
session_054064,user_00168,movie_0254,8/16/24,Smart TV,63.6,26.8,completed,4K,USA,FALSE,,melissa12@example.net,Margaret,Lewis,5,Male,Canada,Alberta,North Jennifer,Standard,2023-10-10,TRUE,14,Smart TV,2,2024-08-14 1:46:23,Empire Mystery,TV Series,Drama,,2024,38,TV-14,English,Japan,7.1,,,3,84,FALSE,2021-09-19,FALSE
session_088008,user_08117,movie_0884,3/18/24,Tablet,,32,paused,HD,Canada,TRUE,4,rileyamanda@example.net,Michael,Johnson,,Female,USA,Pennsylvania,Tiffanyshire,Premium+,2023-09-30,FALSE,5.16,Tablet,1,2023-05-18 22:04:12,Queen King,Movie,Animation,,2000,74,TV-G,English,Japan,9,3791520,,,,FALSE,2021-07-30,FALSE
session_040175,user_07598,movie_0304,10/14/24,Mobile,22,56.2,completed,HD,Canada,FALSE,,grichardson@example.org,George,Murray,36,Male,USA,Florida,Diazmouth,Standard,2023-05-29,TRUE,21.47,Smart TV,3,2023-08-18 20:03:12,Dragon Warrior,Movie,History,Horror,2011,122,NC-17,Hindi,USA,6.3,13039164,51016239,,,TRUE,2023-06-05,FALSE
session_057246,user_07511,movie_0362,10/24/24,Mobile,28,19.6,stopped,HD,Canada,FALSE,,stevenmartin@example.com,Allison,Hodge,49,Female,USA,New Jersey,Bakerhaven,Basic,2024-12-03,TRUE,19.65,Desktop,1,2024-06-22 1:26:22,Bright Phoenix,Documentary,Drama,,2021,84,TV-Y,English,UK,7.9,,,,,TRUE,2023-05-09,FALSE
session_067005,user_02029,movie_0249,10/23/25,Tablet,32.7,15.3,completed,HD,USA,FALSE,,ryan11@example.com,Rachael,Smith,41,Female,USA,Wisconsin,New Tammy,Standard,2025-02-11,TRUE,5.09,Laptop,,2022-09-23 2:48:18,City Storm,Documentary,War,Action,2009,67,TV-14,Hindi,USA,6.5,,,,,FALSE,2025-07-14,FALSE
session_061790,user_01454,movie_0434,10/1/24,Smart TV,26.8,61.2,stopped,Ultra HD,USA,TRUE,,eringraham@example.com,Kendra,Taylor,25,Female,USA,Wisconsin,Smithport,Standard,2025-02-19,TRUE,12.55,Tablet,2,2023-09-15 22:47:18,Princess Battle,Movie,Fantasy,,2011,90,TV-Y,English,France,6.5,1346945,,,,FALSE,2024-10-25,FALSE
session_054222,user_09656,movie_0183,11/16/25,Laptop,6.6,8.9,completed,4K,USA,FALSE,,garrettmelissa@example.net,Leslie,Ramirez,36,Male,USA,Georgia,Vanessaside,Standard,2024-01-24,TRUE,11.36,Gaming Console,1,2023-01-21 1:28:51,House Phoenix,TV Series,Music,Romance,1999,42,G,English,USA,,,,14,85,TRUE,2024-05-04,FALSE
session_089448,user_01708,movie_0432,5/14/25,Desktop,56.2,,stopped,SD,Canada,FALSE,,sydney62@example.net,Marvin,Travis,52,Male,USA,Ohio,Nicholasbury,Premium,2022-12-01,FALSE,5.25,Smart TV,,2025-02-10 2:34:02,Love Journey,Limited Series,Animation,,2019,60,R,French,USA,6.7,,,,29,TRUE,2021-04-26,FALSE
session_008081,user_08941,movie_0930,8/17/25,Smart TV,60.3,23.1,stopped,HD,USA,FALSE,,xpena@example.net,Christopher,Snow,30,Other,Canada,Ontario,Port Christopher,Premium,2023-07-26,FALSE,7.82,Desktop,2,2025-03-14 14:58:24,Dark Day,Limited Series,Animation,History,1991,18,TV-14,English,Canada,5.8,,,8,99,FALSE,2025-04-30,FALSE
session_091985,user_02744,movie_0453,7/18/25,Tablet,26.3,100,started,HD,USA,FALSE,4,donaldmatthews@example.com,Katherine,Montgomery,27,Male,USA,Michigan,New Haley,Premium+,2022-10-11,TRUE,1.85,Mobile,2,2023-07-02 0:07:54,Princess Dream,Movie,Adventure,,2007,92,TV-MA,English,Germany,9.2,3945580,366268007,,,FALSE,2021-03-16,FALSE
session_034401,user_01657,movie_0167,9/11/24,Laptop,69.4,76.7,paused,4K,USA,TRUE,,knguyen@example.net,Michael,Cohen,38,Female,USA,New York,West Nicoleton,Basic,2024-06-09,FALSE,,Mobile,3,2024-09-19 0:54:03,Battle Night,TV Series,Adventure,,2010,37,TV-MA,Italian,USA,,,,9,178,FALSE,2021-06-26,FALSE
session_036445,user_07024,movie_0854,10/12/25,Smart TV,,83.1,stopped,HD,Canada,TRUE,,ahickman@example.com,Kerry,Cole,45,Female,USA,Washington,Freemanmouth,Standard,2023-03-27,TRUE,10.64,Laptop,2,2025-04-29 8:57:29,Dark House,Movie,Fantasy,,2012,117,PG-13,English,USA,7.8,859774,,,,TRUE,2024-07-16,FALSE
session_045769,user_03490,movie_0306,1/7/25,Mobile,255.7,2.8,started,HD,USA,FALSE,,sandratrujillo@example.org,Matthew,Best,43,Female,USA,Maryland,Port Patrickland,Premium,2023-11-04,TRUE,24.63,Mobile,4,2024-09-03 4:46:45,Warrior House,TV Series,Comedy,,2009,45,G,English,UK,,,,1,83,FALSE,2021-10-02,FALSE
session_035626,user_08276,movie_0460,4/24/24,Desktop,66.1,26.9,stopped,HD,USA,FALSE,,burchtravis@example.com,Drew,Duncan,9,Female,USA,Pennsylvania,Leontown,Premium,2024-07-21,TRUE,13.44,Tablet,,2023-04-08 13:46:15,Family Journey,TV Series,Documentary,History,2013,24,TV-14,Italian,Japan,,,,9,66,FALSE,2022-02-23,FALSE
session_011535,user_02416,movie_0794,10/12/25,Desktop,31.4,65.7,completed,4K,USA,TRUE,,halljames@example.com,Julie,Davis,66,,Canada,Prince Edward Island,Thompsonberg,Basic,2024-06-01,TRUE,8.51,Mobile,,2023-11-05 13:19:24,Warrior War,Movie,Sport,,1991,102,TV-PG,English,Japan,,5565586,16023137,,,FALSE,2022-10-20,TRUE
session_054137,user_01095,movie_0373,3/10/24,Mobile,48.5,2.7,completed,HD,USA,FALSE,,calebday@example.org,Clinton,Casey,25,Male,USA,California,Williamville,Basic,2024-03-14,TRUE,28.04,Desktop,2,2024-03-20 12:40:58,Queen Journey,TV Series,War,,2001,51,TV-MA,Spanish,South Korea,5.5,,,7,147,FALSE,2021-06-17,FALSE
session_039846,user_08105,movie_0717,6/8/24,Desktop,40,18.8,started,SD,Canada,TRUE,,fmccoy@example.com,Judy,Zamora,49,Male,USA,New Jersey,Muellerville,Premium,2023-04-22,TRUE,11.71,Mobile,3,2024-11-17 15:01:12,Queen Legend,TV Series,Sport,,1995,40,TV-Y,French,UK,5.1,,,14,147,FALSE,2023-10-17,FALSE
session_016965,user_00408,movie_0488,11/6/24,Desktop,22.3,80.8,completed,HD,USA,FALSE,5,upalmer@example.net,Jesse,Rice,31,Male,USA,New York,Angelaview,Standard,2025-04-02,TRUE,15.33,Desktop,1,2024-01-27 5:17:31,My Mystery,Movie,Thriller,,2013,111,NC-17,Hindi,Canada,,252254,161575,,,FALSE,2023-07-16,FALSE
session_062615,user_00177,movie_0270,12/9/25,Mobile,18.2,25.2,completed,HD,USA,FALSE,,lbanks@example.net,Jeffrey,Gray,16,Female,Canada,Quebec,East Jessica,Basic,2025-02-19,FALSE,9.56,Tablet,2,2023-02-18 13:56:50,Secret Ice,Movie,Romance,,2020,152,TV-G,English,UK,0.9,389524,492518,,,FALSE,2022-11-01,TRUE
session_074035,user_03483,movie_0199,8/18/24,Desktop,23.6,,completed,HD,USA,TRUE,,johnsonstephen@example.net,Kathy,Smith,23,Female,Canada,Nova Scotia,Howardshire,Basic,2022-10-05,TRUE,19.35,Desktop,4,2025-08-01 15:21:18,A Love,TV Series,Music,,1992,23,TV-Y7,English,India,8.3,,,3,53,FALSE,2020-08-30,FALSE
session_069412,user_00868,movie_0823,7/10/24,Desktop,,41.4,stopped,4K,USA,TRUE,1,brandon55@example.com,Amanda,Perez,52,Male,Canada,Alberta,North Annetteberg,Basic,2023-10-26,TRUE,9.13,Tablet,1,2023-03-15 15:33:57,Adventure Ice,Movie,Comedy,,1992,87,TV-PG,English,UK,,527595,,,,FALSE,2022-01-15,FALSE
session_018280,user_08849,movie_0715,2/10/24,Smart TV,4.4,,started,HD,USA,FALSE,4,angelica64@example.com,Margaret,Fernandez,35,,Canada,Ontario,Glennland,Standard,2023-05-04,TRUE,4.48,Laptop,6,2023-11-27 1:20:26,City Mystery,Movie,Horror,,2002,116,PG-13,English,USA,5.6,2496199,5147384,,,FALSE,2024-11-07,FALSE
session_039761,user_03163,movie_0889,12/16/25,Tablet,21.3,14.6,completed,SD,USA,FALSE,,wushawn@example.com,Jorge,Floyd,,Male,USA,Massachusetts,Lake Raymondfort,Premium,2023-04-16,TRUE,,Mobile,,2025-07-08 16:08:05,Love Princess,Stand-up Comedy,Crime,War,2002,71,TV-Y,Spanish,Japan,5.9,,,,,FALSE,2024-06-21,FALSE
session_083979,user_03150,movie_0421,8/8/24,Mobile,116.2,,completed,HD,USA,FALSE,5,stephanieball@example.com,Jackie,Huber,,Prefer not to say,USA,Texas,Aaronberg,Basic,2024-02-20,TRUE,5.71,Smart TV,2,2024-08-30 13:26:58,Legend Love,Documentary,War,,1997,66,PG,English,USA,5.2,,,,,FALSE,2025-05-30,FALSE
session_082425,user_01714,movie_0736,1/8/25,Mobile,83.8,43,paused,Ultra HD,USA,TRUE,,peter98@example.com,Amanda,Holder,20,Male,USA,Michigan,Stephensonmouth,Premium,2022-09-19,TRUE,18.44,Tablet,4,2024-08-06 0:53:43,Mystery Legend,Stand-up Comedy,Music,,2004,69,PG,German,Germany,6.3,,,,,FALSE,2021-09-09,TRUE
session_068752,user_09543,movie_0057,11/1/24,Smart TV,69.3,6,stopped,HD,USA,FALSE,,ymoore@example.net,Daniel,Montgomery,46,Male,USA,Maryland,Port Ritashire,Premium,2024-12-28,TRUE,12.36,Tablet,3,2022-08-10 15:20:37,Mission Dream,Movie,Biography,,2017,82,TV-14,Spanish,USA,5.9,4186498,7674756,,,TRUE,2021-10-30,FALSE
session_047105,user_06032,movie_0423,6/2/25,Desktop,90.1,43.8,stopped,SD,USA,FALSE,,kristinaburke@example.org,Brian,Davis,,Male,USA,Ohio,East Jason,Standard,2022-09-16,TRUE,46.63,Laptop,2,2024-05-21 17:26:04,Our Night,Movie,Biography,,2005,143,TV-PG,English,USA,3.4,1053266,178690590,,,FALSE,2022-11-05,FALSE
session_059132,user_06005,movie_0798,5/4/25,Laptop,62.8,5.1,started,4K,USA,FALSE,,richardparker@example.net,Walter,Romero,35,Male,Canada,Alberta,East Angieport,Premium,2023-12-31,TRUE,6.51,Gaming Console,5,2025-03-28 3:17:24,Queen Adventure,Movie,Adventure,Comedy,2019,108,TV-PG,English,France,5.5,6555080,,,,FALSE,2023-08-25,FALSE
session_031736,user_07460,movie_0183,2/27/24,Smart TV,29.9,73.4,completed,SD,USA,FALSE,,saracook@example.org,Shelly,Potts,36,Male,USA,Missouri,Reidside,Standard,2022-09-11,TRUE,30.74,Tablet,2,2024-10-05 2:19:57,House Phoenix,TV Series,Music,Romance,1999,42,G,English,USA,,,,14,85,TRUE,2024-05-04,FALSE
session_062002,user_01607,movie_0553,2/2/25,Smart TV,10.4,3.2,completed,HD,USA,FALSE,,lsalinas@example.net,Tina,Sanchez,40,Male,Canada,Newfoundland and Labrador,Lake Robertland,Standard,2025-04-05,TRUE,4.55,Laptop,1,2023-04-20 5:53:26,Mystery City,Documentary,Music,,2010,93,NC-17,English,Germany,6,,,,,TRUE,2024-06-22,FALSE
session_010740,user_03165,movie_0765,3/31/25,Laptop,533.7,8.8,completed,4K,USA,FALSE,,watersjerry@example.org,Karen,Harris,22,Prefer not to say,USA,Indiana,Fitzgeraldville,Basic,2025-05-19,TRUE,13.17,Desktop,1,2024-12-22 6:13:33,War Phoenix,TV Series,Documentary,,2003,439,TV-Y,German,USA,,,,7,6,FALSE,2021-05-12,FALSE
session_041215,user_04124,movie_0064,4/18/24,Smart TV,4.1,48,stopped,HD,Canada,FALSE,1,huntercorey@example.net,Alex,Sanford,19,Male,USA,Maryland,Ericville,Premium,2024-06-24,FALSE,3.1,Mobile,5,2023-12-28 11:59:16,Last City,Documentary,Animation,Crime,1994,115,TV-PG,Japanese,South Korea,5.8,,,,,FALSE,2021-07-03,FALSE
session_072858,user_04755,movie_0957,8/19/24,Desktop,84.7,17,stopped,HD,USA,FALSE,,ryankeith@example.com,Stephanie,Rivera,49,Female,USA,North Carolina,Santoschester,Standard,2025-07-11,TRUE,14.44,Gaming Console,3,2023-06-09 9:24:32,Storm Love,Documentary,Sci-Fi,Family,2024,102,TV-14,Italian,Canada,6.3,,,,,TRUE,2021-05-24,FALSE
session_060272,user_06110,movie_0591,3/23/24,Tablet,91.4,40.3,started,4K,USA,TRUE,,wgonzalez@example.net,Lisa,Li,26,Male,USA,Pennsylvania,South Davidside,Premium,2024-07-15,TRUE,21.1,Laptop,3,2023-03-30 7:41:15,City Empire,Limited Series,Mystery,Sci-Fi,1995,94,TV-Y,German,USA,,,,6,77,FALSE,2024-08-01,FALSE
session_013761,user_00904,movie_0317,6/17/24,Mobile,711.2,95.5,completed,4K,USA,FALSE,,nmccoy@example.org,Lindsey,Powers,55,Prefer not to say,USA,Indiana,Port Allison,Premium,2025-07-11,FALSE,8.49,Gaming Console,,2023-05-06 2:46:50,Mystery Love,Movie,Drama,,1996,87,TV-Y,French,South Korea,8.6,,544577,,,TRUE,2025-03-25,TRUE
session_084418,user_06782,movie_0417,12/15/24,Tablet,85.4,31.8,paused,HD,USA,FALSE,4,donald65@example.org,Tiffany,Stone,19,Female,USA,Massachusetts,Wrightport,Basic,2023-09-25,FALSE,27.11,Mobile,8,2025-07-25 3:30:44,Dragon Day,Documentary,Western,,2011,91,PG-13,English,USA,5.4,,,,,FALSE,2023-06-07,FALSE
